"date","zeit_berlin","slot","title","url","category","anlass","quellen","bilddatei","bild_alt_text","linkedin_status","commit","deploy_status","live_pruefung","topic_id","publication_id"
"2026-07-20","""""""""""""""""""""""""""""""""""""""""""","morgens","Starkregen und RÃ¼ckstau: Schadenaufnahme und Regulierung im Kumulereignis","https://www.sv-netzwerk.eu/fachwissen/starkregen-rueckstau-schadenaufnahme-regulierung-2026-07-20-morning/","Starkregen und RÃ¼ckstau","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemÃ¤ÃŸ Wochenend-/Fallback-Regel.","/assets/images/linkedin/starkregen-rueckstau-schadenaufnahme-regulierung-2026-07-20-morning.svg","Symbolbild: Starkregen und RÃ¼ckstau im Kontext der Schadenregulierung und Kumulschadensteuerung","success","1a1aba19294033b0e3784924c003d349cf1b49ac","success","success","starkregen-rueckstau","2026-07-20-morning-3fb93383f7"
"2026-07-20","""""""""""""""""""""""""""""""""""""""""""","morgens","Hochwasser und Ãœberflutung: Koordination im GroÃŸschadenbestand","https://www.sv-netzwerk.eu/fachwissen/hochwasser-ueberflutung-grossschadenkoordination-2026-07-20-morning/","Hochwasser und Ãœberflutung","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemÃ¤ÃŸ Wochenend-/Fallback-Regel.","/assets/images/linkedin/hochwasser-ueberflutung-grossschadenkoordination-2026-07-20-morning.svg","Symbolbild: Hochwasser und Ãœberflutung im Kontext der Schadenregulierung und Kumulschadensteuerung","success","1a1aba19294033b0e3784924c003d349cf1b49ac","success","success","hochwasser-grossschadenkoordination","2026-07-20-morning-a3f2e1c8d9"
"2026-07-21","08:15","morgens","Sturm- und Hagel-SerienschÃ¤den: PrÃ¼ffolge fÃ¼r belastbare Freigaben â€“ fachliche Einordnung zur aktuellen Lage","https://www.sv-netzwerk.eu/fachwissen/sturm-hagel-serienschaeden-prueffolge-2026-07-21-morning/","Sturm- und HagelschÃ¤den","regionaler Anlass: Vier Container in Flammen â€“ Brandstiftung vor Gymnasium in SchwÃ¤bisch GmÃ¼nd - Rems-Zeitung","Rems-Zeitung: Vier Container in Flammen â€“ Brandstiftung vor Gymnasium in SchwÃ¤bisch GmÃ¼nd - Rems-Zeitung (https://news.google.com/rss/articles/CBMigwJBVV95cUxPUHpDS2xpemZKNWw1dlB3cFdnQkQ3eTI2NG9OWGg4U3JfbFBsMkxxM0NrSGEybEJhcE1heDAwRGJmbmxGRTBtZmltRkwxVGdaM0tYdmhESDNvOS1MbElZOXZIZHhmck1DUjZEb0Q0ejhQOUxzUXZlVHR3SWd1VUlPVE5uaW1GVmlYTUxmOTYtM1BtSlJncDBPTEJKU2oxZGl4cUxWbkh0d2c4ZG1GZ0NpVzYzcGl2b0d3WndJcXBkTVVxWWdSZHFSdncwbl9ESDZsRkVQZmRkNzYyVWhLRXNXTmhBZ3NGUFhBblN3aGZZM29peFNfVjI2bmNBRDRhMGtMSkdV0gGfAkFVX3lxTFA3cEV1Y0FnbGRYMVlwQkdkV1J4a3k0akRCNTd6WmtBR1I3NV9IUUtPNHR2VExXZTRoZ2Etc3VYV29nTDZSdWNzYk1vM29aVGIwbFhzOS1IMjc0aXZGbWRhMDdxUmVuNUZQZDlsT1F5Sjc1OFJ5ekl3R3E1ek85QXN3SXg5Mks4X183azJjWXNZSF8xMFIzS3lsaDgwS1NROTJnWnFZTVMtalZSb3J4QThJbVFHa0VZQkVIYnE0LVI4NVV0NFRGWmQ0UWJCVVVTTnRxZllDSE9qWmp6b0FxNm9iOWNYbWZnMUdCaVBGVDR1d2xCWWhWY0pUb0k1OW53aEljMEtIMGVHVk8wbE5Vb05rSmctTWU0bkg0STQ5b3ZF?oc=5)","/assets/images/linkedin/sturm-hagel-serienschaeden-prueffolge-2026-07-21-morning.svg","Symbolbild: Sturm- und HagelschÃ¤den im Kontext der Schadenregulierung und Kumulschadensteuerung","success","5477dda7e5c0dfd347a3f9ff1df6441db2164620","success","success","sturm-hagel-serienschaeden","2026-07-21-morning-20b72c1298"
"2026-07-25","17:29","nachmittags","KumulschÃ¤den nach Hochwasser und Ãœberflutung: Priorisierung und strukturierte Regulierung","https://www.sv-netzwerk.eu/fachwissen/kumulschaeden-hochwasser-ueberflutung-priorisierung-regulierung/","Hochwasser und Ãœberflutung","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemÃ¤ÃŸ Wochenend-/Fallback-Regel.","/assets/images/linkedin/kumulschaeden-hochwasser-ueberflutung-priorisierung-regulierung.svg","Symbolbild: Hochwasser und Ãœberflutung im Kontext der Schadenregulierung und Kumulschadensteuerung","skipped","pending","failed","failed","hochwasser-kumulschadenmanagement","2026-07-25-afternoon-147e886aa1"
"""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""""
"""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""""
"2026-07-28","16:52","nachmittags","Großflächige Leitungswasserschäden: Sanierungssteuerung unter hoher Schadenfrequenz","https://www.sv-netzwerk.eu/fachwissen/grossflaechige-leitungswasserschaeden-sanierungssteuerung/","Leitungswasserschäden","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemäß Wochenend-/Fallback-Regel.","/assets/images/linkedin/grossflaechige-leitungswasserschaeden-sanierungssteuerung.svg","Symbolbild: Leitungswasserschäden im Kontext der Schadenregulierung und Kumulschadensteuerung","pending","a384db083028c97025d6c9a59ed44a087f8db16e","success","success","grossflaechig-leitungswasser","2026-07-28-afternoon-4c750fee8f"
"2026-08-01","17:27","nachmittags","Brandschaden mit mehreren betroffenen Gebäuden: Struktur für Erstaufnahme und Regulierung","https://www.sv-netzwerk.eu/fachwissen/brandschaden-mehrere-gebaeude-koordination/","Brandschaden","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemäß Wochenend-/Fallback-Regel.","/assets/images/linkedin/brandschaden-mehrere-gebaeude-koordination.svg","Symbolbild: Brandschaden im Kontext der Schadenregulierung und Kumulschadensteuerung","skipped","pending","failed","failed","brandschaden-mehrere-gebaeude","2026-08-01-afternoon-978f1a9b2b"
"2026-08-02","17:28","nachmittags","Schneedruck und Winterschäden: Statische Bewertung und Regulierung im Kumulereignis","geplante Ziel-URL: https://www.sv-netzwerk.eu/fachwissen/schneedruck-winterschaeden-bewertung-regulierung/","Schneedruck und Winterschäden","redaktioneller Altentwurf ohne Live-Freigabe","Kein belastbarer aktueller Regionalanlass im Suchraum; Entwurf nicht veröffentlicht und nicht indexiert.","/assets/images/linkedin/schneedruck-winterschaeden-bewertung-regulierung.svg","Symbolbild: Schneedruck und Winterschäden im Kontext der Schadenregulierung und Kumulschadensteuerung","draft","pending","not-published","not-indexed","schneedruck-winterschaeden","2026-08-02-afternoon-d96a0b268f"
"2026-08-07","17:10","nachmittags","Tornadoereignisse und lokale Sturmereignisse: Schadenaufnahme und technische Einordnung","https://www.sv-netzwerk.eu/fachwissen/tornado-lokale-sturmereignisse-schadenaufnahme/","Tornadoereignisse und lokale Sturmschäden","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemäß Wochenend-/Fallback-Regel.","/assets/images/linkedin/tornado-lokale-sturmereignisse-schadenaufnahme.svg","Symbolbild: Tornadoereignisse und lokale Sturmschäden im Kontext der Schadenregulierung und Kumulschadensteuerung","skipped","pending","failed","failed","tornado-lokale-sturmereignisse","2026-08-07-afternoon-2cb0beaa80"
