Gebäude;Etage;Raumnummer;Name;Nutzung;Bemerkung
Verwaltungsgebäude Nord;Untergeschoss;VGN-001;Technikraum;Technik;
Verwaltungsgebäude Nord;Untergeschoss;VGN-002;Flur 2;Verkehrsfläche;
Verwaltungsgebäude Nord;Untergeschoss;VGN-003;Serverraum 3;Technik;
Verwaltungsgebäude Nord;Untergeschoss;VGN-004;Lager 4;Lager;
Verwaltungsgebäude Nord;Untergeschoss;VGN-005;Treppenhaus 5;Verkehrsfläche;
Verwaltungsgebäude Nord;Untergeschoss;VGN-006;Technikraum 6;Technik;
Verwaltungsgebäude Nord;Untergeschoss;VGN-007;Flur 7;Verkehrsfläche;
Verwaltungsgebäude Nord;Untergeschoss;VGN-008;Serverraum 8;Technik;Denkmalgeschützt
Verwaltungsgebäude Nord;Erdgeschoss;VGN-101;Treppenhaus;Verkehrsfläche;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-102;Poststelle 2;Verwaltung;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-103;Besprechungsraum 3;Besprechung;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-104;WC Damen 4;Sanitär;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-105;Großraumbüro 5;Büro;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-106;Aufenthaltsraum 6;Sozial;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-107;Konferenzraum 7;Besprechung;Zutritt nur mit Begleitung
Verwaltungsgebäude Nord;Erdgeschoss;VGN-108;Empfang 8;Empfang;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-109;Treppenhaus 9;Verkehrsfläche;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-110;Poststelle 10;Verwaltung;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-106;Besprechungsraum 11;Besprechung;
Verwaltungsgebäude Nord;Erdgeschoss;VGN-112;WC Damen 12;Sanitär;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-201;Küche;Versorgung;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-202;Flur 2;Verkehrsfläche;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-203;Kantine 3;Sozial;Schlüssel beim Hausmeister
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-204;Großraumbüro 4;Büro;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-205;Büro (Doppel) 5;Büro;Renovierung geplant Q3/2026
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-206;Werkstatt 6;Technik;Denkmalgeschützt
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-207;Aufenthaltsraum 7;Sozial;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-208;Technikraum 8;Technik;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-209;Küche 9;Versorgung;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-210;Flur 10;Verkehrsfläche;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-211;Kantine 11;Sozial;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-212;Großraumbüro 12;Büro;Zutritt nur mit Begleitung
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-213;Büro (Doppel) 13;Büro;
Verwaltungsgebäude Nord;1. Obergeschoss;VGN-214;Werkstatt 14;Technik;Schlüssel beim Hausmeister
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-301;Werkstatt;Technik;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-302;Flur 2;Verkehrsfläche;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-303;Treppenhaus 3;Verkehrsfläche;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-304;Technikraum 4;Technik;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-305;Konferenzraum 5;Besprechung;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-306;Poststelle 6;Verwaltung;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-307;Besprechungsraum 7;Besprechung;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-308;Großraumbüro 8;Büro;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-309;Werkstatt 9;Technik;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-310;Flur 10;Verkehrsfläche;Denkmalgeschützt
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-311;Treppenhaus 11;Verkehrsfläche;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-312;Technikraum 12;Technik;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-313;Konferenzraum 13;Besprechung;
Verwaltungsgebäude Nord;2. Obergeschoss;VGN-314;Poststelle 14;Verwaltung;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-401;Großraumbüro;Büro;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-402;Konferenzraum 2;Besprechung;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-403;Empfang 3;Empfang;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-404;Küche 4;Versorgung;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-405;Poststelle 5;Verwaltung;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-406;Serverraum 6;Technik;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-407;Flur 7;Verkehrsfläche;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-408;Teeküche 8;Sozial;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-409;Großraumbüro 9;Büro;
Verwaltungsgebäude Nord;3. Obergeschoss;VGN-410;Konferenzraum 10;Besprechung;
Verwaltungsgebäude Süd;Untergeschoss;VGS-001;Lager;Lager;
Verwaltungsgebäude Süd;Untergeschoss;VGS-002;Serverraum 2;Technik;
Verwaltungsgebäude Süd;Untergeschoss;VGS-003;Werkstatt 3;Technik;
Verwaltungsgebäude Süd;Untergeschoss;VGS-004;Technikraum 4;Technik;
Verwaltungsgebäude Süd;Untergeschoss;VGS-005;Treppenhaus 5;Verkehrsfläche;
Verwaltungsgebäude Süd;Untergeschoss;VGS-006;Lager 6;Lager;Zutritt nur mit Begleitung
Verwaltungsgebäude Süd;Erdgeschoss;VGS-101;Kantine;Sozial;
Verwaltungsgebäude Süd;Erdgeschoss;VGS-102;Technikraum 2;Technik;
Verwaltungsgebäude Süd;Erdgeschoss;VGS-103;Empfang 3;Empfang;
Verwaltungsgebäude Süd;Erdgeschoss;VGS-104;Poststelle 4;Verwaltung;
Verwaltungsgebäude Süd;Erdgeschoss;VGS-105;Büro (Doppel) 5;Büro;
Verwaltungsgebäude Süd;Erdgeschoss;VGS-106;Treppenhaus 6;Verkehrsfläche;
Verwaltungsgebäude Süd;Erdgeschoss;VGS-107;Besprechungsraum 7;Besprechung;
Verwaltungsgebäude Süd;Erdgeschoss;VGS-108;Archiv 8;Lager;
Verwaltungsgebäude Süd;Erdgeschoss;VGS-109;Kantine 9;Sozial;Denkmalgeschützt
Verwaltungsgebäude Süd;Erdgeschoss;VGS-110;Technikraum 10;Technik;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-110;Treppenhaus;Verkehrsfläche;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-202;Flur 2;Verkehrsfläche;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-203;Archiv 3;Lager;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-204;Kantine 4;Sozial;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-205;Serverraum 5;Technik;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-206;Werkstatt 6;Technik;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-207;Konferenzraum 7;Besprechung;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-208;Besprechungsraum 8;Besprechung;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-209;Treppenhaus 9;Verkehrsfläche;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-210;Flur 10;Verkehrsfläche;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-211;Archiv 11;Lager;
Verwaltungsgebäude Süd;1. Obergeschoss;VGS-212;Kantine 12;Sozial;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-301;Büro (Einzel);Büro;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-302;Archiv 2;Lager;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-303;Treppenhaus 3;Verkehrsfläche;Renovierung geplant Q3/2026
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-304;Technikraum 4;Technik;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-305;Aufenthaltsraum 5;Sozial;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-306;Küche 6;Versorgung;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-307;Büro (Doppel) 7;Büro;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-308;Großraumbüro 8;Büro;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-309;Büro (Einzel) 9;Büro;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-310;Archiv 10;Lager;Denkmalgeschützt
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-311;Treppenhaus 11;Verkehrsfläche;
Verwaltungsgebäude Süd;2. Obergeschoss;VGS-312;Technikraum 12;Technik;
Konferenzzentrum;Erdgeschoss;KON-101;Großraumbüro;Büro;
Konferenzzentrum;Erdgeschoss;KON-102;Büro (Doppel) 2;Büro;
Konferenzzentrum;Erdgeschoss;KON-103;Flur 3;Verkehrsfläche;
Konferenzzentrum;Erdgeschoss;KON-104;Büro (Einzel) 4;Büro;
Konferenzzentrum;Erdgeschoss;KON-105;Besprechungsraum 5;Besprechung;
Konferenzzentrum;Erdgeschoss;KON-106;Konferenzraum 6;Besprechung;
Konferenzzentrum;Erdgeschoss;KON-107;Großraumbüro 7;Büro;
Konferenzzentrum;Erdgeschoss;KON-108;Büro (Doppel) 8;Büro;
Konferenzzentrum;1. Obergeschoss;KON-201;WC Damen;Sanitär;
Konferenzzentrum;1. Obergeschoss;KON-202;Büro (Einzel) 2;Büro;
