Fensternummer;Gebäude;Etage;Raum;Raumnummer;Status;Hersteller;Beschlagsystem;Baujahr;Breite_mm;Höhe_mm;Mangel;Dringend;Fortschritt;Bewertung
F-0001;Verwaltungsgebäude Nord;Untergeschoss;Teeküche;VGN-001;nicht zugaenglich;Schüco;Schüco AvanTec;1985;1921;2183;Nein;Nein;0%;
F-0002;Verwaltungsgebäude Nord;Untergeschoss;Teeküche;VGN-001;in Bearbeitung;Maco;Schüco AvanTec;1985;1598;1554;Nein;Nein;50%;
F-0003;Verwaltungsgebäude Nord;Untergeschoss;Teeküche;VGN-001;nicht begonnen;Winkhaus;Roto NT;1992;2269;1663;Ja;Ja;0%;
F-0004;Verwaltungsgebäude Nord;Untergeschoss;Teeküche;VGN-001;fachlich geprueft;GU (Gretsch-Unitas);GU UNI-JET;2000;1739;1103;Nein;Nein;100%;
F-0005;Verwaltungsgebäude Nord;Untergeschoss;Besprechungsraum;VGN-002;nicht zugaenglich;Maco;Winkhaus activPilot;2015;1685;1431;Nein;Nein;0%;
F-0006;Verwaltungsgebäude Nord;Untergeschoss;Besprechungsraum;VGN-002;nicht begonnen;Winkhaus;GU UNI-JET;2008;2026;1426;Nein;Nein;0%;
F-0007;Verwaltungsgebäude Nord;Untergeschoss;Besprechungsraum;VGN-002;nicht begonnen;Roto Frank;Maco Multi-Matic;2012;1434;1885;Nein;Nein;0%;
F-0008;Verwaltungsgebäude Nord;Untergeschoss;Besprechungsraum;VGN-002;nicht zugaenglich;GU (Gretsch-Unitas);Roto NX;2018;660;1470;Nein;Nein;0%;
F-0009;Verwaltungsgebäude Nord;Untergeschoss;Büro;VGN-003;freigegeben;Winkhaus;GU UNI-JET;1995;1781;857;Nein;Nein;100%;Austausch empfohlen
F-0010;Verwaltungsgebäude Nord;Untergeschoss;Büro;VGN-003;Spezialpruefung erforderlich;Winkhaus;Maco Multi-Matic;2000;1541;2031;Nein;Nein;0%;
F-0011;Verwaltungsgebäude Nord;Untergeschoss;Büro;VGN-003;nicht zugaenglich;Winkhaus;Winkhaus activPilot;2005;1207;1114;Nein;Nein;0%;
F-0012;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-004;nicht begonnen;Siegenia-Aubi;Roto NT;2018;716;1923;Nein;Nein;0%;
F-0013;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-004;in Bearbeitung;Maco;GU UNI-JET;1995;852;1739;Nein;Nein;20%;
F-0014;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-004;Pruefung abgeschlossen;Maco;Winkhaus activPilot;1998;1472;1223;Nein;Nein;100%;
F-0015;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-004;in Bearbeitung;Siegenia-Aubi;Schüco AvanTec;1998;1592;2146;Nein;Nein;48%;
