Gebäude;Etage;Raum;Raumnummer;Fensternummer;Typ;Hersteller;Beschlag;Baujahr;Breite_mm;Höhe_mm;Glas;Lage;Status
Verwaltungsgebäude Nord;Untergeschoss;Flur 2;VGN-002;VGN-F-0001;Dreh-Kipp;Roto Frank;Roto NT;2009;1420;2070;Ornamentglas;Nord;in_bearbeitung
Verwaltungsgebäude Nord;Untergeschoss;Flur 2;VGN-002;VGN-F-0002;Oberlicht;Winkhaus;activPilot;2020;710;380;2-fach WSG;Nordost;in_bearbeitung
Verwaltungsgebäude Nord;Untergeschoss;Lager 4;VGN-004;VGN-F-0003;Kipp;Roto Frank;Roto NT;2007;1050;1470;3-fach WSG;Südost;abgeschlossen
Verwaltungsgebäude Nord;Untergeschoss;Treppenhaus 5;VGN-005;VGN-F-0004;Oberlicht;Roto Frank;Roto NX;2014;960;370;ESG;Südost;abgeschlossen
Verwaltungsgebäude Nord;Untergeschoss;Flur 7;VGN-007;VGN-F-0005;Kipp;GU-BKS;UNI-JET;2018;1810;2080;2-fach VSG;Nord;saniert
Verwaltungsgebäude Nord;Erdgeschoss;Treppenhaus;VGN-101;VGN-F-0006;Dreh;Schüco;AvanTec;2009;1080;2200;3-fach WSG;Nordwest;ausser_betrieb
Verwaltungsgebäude Nord;Erdgeschoss;Poststelle 2;VGN-102;VGN-F-0007;Fest;Roto Frank;Roto NX;2017;1420;2070;2-fach WSG;West;abgeschlossen
Verwaltungsgebäude Nord;Erdgeschoss;Poststelle 2;VGN-102;VGN-F-0008;Oberlicht;Roto Frank;Roto NX;2014;1080;480;2-fach VSG;Südwest;nicht_begonnen
Verwaltungsgebäude Nord;Erdgeschoss;Besprechungsraum 3;VGN-103;VGN-F-0009;Fest;GU-BKS;UNI-JET;2009;1590;2010;2-fach VSG;Südost;ausser_betrieb
Verwaltungsgebäude Nord;Erdgeschoss;Besprechungsraum 3;VGN-103;VGN-F-0010;Kipp;Siegenia-Aubi;Titan AF;2011;1220;1930;2-fach WSG;West;abgeschlossen
Verwaltungsgebäude Nord;Erdgeschoss;Besprechungsraum 3;VGN-103;VGN-F-0011;Oberlicht;Roto Frank;Roto NX;2012;1140;360;2-fach VSG;Nordost;nicht_zugaenglich
Verwaltungsgebäude Nord;Erdgeschoss;WC Damen 4;VGN-104;VGN-F-0012;Dreh;Winkhaus;activPilot;2007;1710;1020;2-fach WSG;Nordost;abgeschlossen
Verwaltungsgebäude Nord;Erdgeschoss;WC Damen 4;VGN-104;VGN-F-0013;Dreh;GU-BKS;UNI-JET;2017;1340;1110;3-fach WSG;West;nicht_zugaenglich
Verwaltungsgebäude Nord;Erdgeschoss;Großraumbüro 5;VGN-105;VGN-F-0014;Dreh;Roto Frank;Roto NX;2008;920;1570;3-fach WSG;West;nachpruefung
Verwaltungsgebäude Nord;Erdgeschoss;Großraumbüro 5;VGN-105;VGN-F-0015;Kipp;Winkhaus;activPilot;2013;1830;1720;2-fach VSG;Nordost;nachpruefung
Verwaltungsgebäude Nord;Erdgeschoss;Großraumbüro 5;VGN-105;VGN-F-0016;Dreh-Kipp;Schüco;AvanTec;2009;930;1170;2-fach WSG;Südwest;nicht_begonnen
Verwaltungsgebäude Nord;Erdgeschoss;Großraumbüro 5;VGN-105;VGN-F-0017;Fest;GU-BKS;UNI-JET;2018;1000;2160;2-fach WSG;Nordwest;austausch_empfohlen
Verwaltungsgebäude Nord;Erdgeschoss;Großraumbüro 5;VGN-105;VGN-F-0018;Kipp;Maco;Multi-Matic;2019;1710;1840;ESG;Südost;austausch_empfohlen
Verwaltungsgebäude Nord;Erdgeschoss;Aufenthaltsraum 6;VGN-106;VGN-F-0019;Dreh-Kipp;GU-BKS;UNI-JET;2012;1380;1200;3-fach WSG;West;nicht_begonnen
Verwaltungsgebäude Nord;Erdgeschoss;Aufenthaltsraum 6;VGN-106;VGN-F-0020;Kipp;Winkhaus;activPilot;2017;1110;1540;Ornamentglas;Ost;ausser_betrieb
Verwaltungsgebäude Nord;Erdgeschoss;Aufenthaltsraum 6;VGN-106;VGN-F-0021;Dreh;GU-BKS;UNI-JET;2004;1730;2130;Ornamentglas;Nordost;nicht_begonnen
Verwaltungsgebäude Nord;Erdgeschoss;Konferenzraum 7;VGN-107;VGN-F-0022;Fest;Maco;Multi-Matic;2016;1370;1000;2-fach VSG;Ost;austausch_empfohlen
Verwaltungsgebäude Nord;Erdgeschoss;Konferenzraum 7;VGN-107;VGN-F-0023;Oberlicht;Maco;Multi-Matic;2008;680;300;Ornamentglas;Südost;nicht_zugaenglich
Verwaltungsgebäude Nord;Erdgeschoss;Konferenzraum 7;VGN-107;VGN-F-0024;Oberlicht;Maco;Multi-Matic;2006;1070;470;3-fach WSG;West;nicht_begonnen
Verwaltungsgebäude Nord;Erdgeschoss;Konferenzraum 7;VGN-107;VGN-F-0018;Fest;Roto Frank;Roto NT;2017;1250;1930;2-fach WSG;Nordost;abgeschlossen
Verwaltungsgebäude Nord;Erdgeschoss;Konferenzraum 7;VGN-107;VGN-F-0026;Dreh;Winkhaus;activPilot;2007;1590;1520;Ornamentglas;West;saniert
Verwaltungsgebäude Nord;Erdgeschoss;Konferenzraum 7;VGN-107;VGN-F-0027;Dreh-Kipp;GU-BKS;UNI-JET;2019;1970;1130;ESG;West;nachpruefung
Verwaltungsgebäude Nord;Erdgeschoss;Empfang 8;VGN-108;VGN-F-0028;Kipp;GU-BKS;UNI-JET;2008;1440;1820;2-fach VSG;Nordost;abgeschlossen
Verwaltungsgebäude Nord;Erdgeschoss;Empfang 8;VGN-108;VGN-F-0029;Fest;Maco;Multi-Matic;2016;1500;1920;2-fach WSG;Süd;in_bearbeitung
Verwaltungsgebäude Nord;Erdgeschoss;Empfang 8;VGN-108;VGN-F-0030;Kipp;Maco;Multi-Matic;2004;1630;2190;2-fach VSG;Südwest;in_bearbeitung
Verwaltungsgebäude Nord;Erdgeschoss;Empfang 8;VGN-108;VGN-F-0031;Fest;Roto Frank;Roto NT;2007;1090;1180;Ornamentglas;Ost;in_bearbeitung
Verwaltungsgebäude Nord;Erdgeschoss;Treppenhaus 9;VGN-109;VGN-F-0032;Kipp;Roto Frank;Roto NX;2004;1540;1580;2-fach VSG;Nordost;in_bearbeitung
Verwaltungsgebäude Nord;Erdgeschoss;Poststelle 10;VGN-110;VGN-F-0033;Oberlicht;Roto Frank;Roto NT;2004;1190;500;2-fach VSG;Nordost;abgeschlossen
Verwaltungsgebäude Nord;Erdgeschoss;Poststelle 10;VGN-110;VGN-F-0034;Fest;Roto Frank;Roto NT;2018;1620;2160;Ornamentglas;West;in_bearbeitung
Verwaltungsgebäude Nord;Erdgeschoss;Besprechungsraum 11;VGN-106;VGN-F-0035;Schiebe;Roto Frank;Roto NT;2006;1660;1950;ESG;Nordost;nicht_begonnen
Verwaltungsgebäude Nord;Erdgeschoss;Besprechungsraum 11;VGN-106;VGN-F-0036;Kipp;Schüco;AvanTec;2018;1760;1240;Ornamentglas;Nordwest;abgeschlossen
Verwaltungsgebäude Nord;Erdgeschoss;Besprechungsraum 11;VGN-106;VGN-F-0037;Oberlicht;Roto Frank;Roto NX;2004;750;420;ESG;Südost;nicht_begonnen
Verwaltungsgebäude Nord;Erdgeschoss;Besprechungsraum 11;VGN-106;VGN-F-0038;Dreh;Winkhaus;activPilot;2015;1850;1890;Ornamentglas;Nord;nicht_begonnen
