Raumnummer;Bezeichnung;Etage;Gebäude
VGN-001;Teeküche;Untergeschoss;Verwaltungsgebäude Nord
VGN-002;Besprechungsraum;Untergeschoss;Verwaltungsgebäude Nord
VGN-003;Büro;Untergeschoss;Verwaltungsgebäude Nord
VGN-004;Flur;Untergeschoss;Verwaltungsgebäude Nord
VGN-005;Empfang;Untergeschoss;Verwaltungsgebäude Nord
VGN-006;Archiv;Untergeschoss;Verwaltungsgebäude Nord
VGN-007;Flur;Untergeschoss;Verwaltungsgebäude Nord
VGN-008;Sanitär;Untergeschoss;Verwaltungsgebäude Nord
VGN-009;Flur;Untergeschoss;Verwaltungsgebäude Nord
VGN-010;Lager;Untergeschoss;Verwaltungsgebäude Nord
VGN-011;Lager;Untergeschoss;Verwaltungsgebäude Nord
VGN-101;Archiv;Erdgeschoss;Verwaltungsgebäude Nord
VGN-102;Bibliothek;Erdgeschoss;Verwaltungsgebäude Nord
VGN-103;Sanitär;Erdgeschoss;Verwaltungsgebäude Nord
VGN-104;Büro;Erdgeschoss;Verwaltungsgebäude Nord
VGN-105;Druckerraum;Erdgeschoss;Verwaltungsgebäude Nord
VGN-106;Sanitär;Erdgeschoss;Verwaltungsgebäude Nord
VGN-107;Sanitär;Erdgeschoss;Verwaltungsgebäude Nord
VGN-108;Bibliothek;Erdgeschoss;Verwaltungsgebäude Nord
VGN-201;Besprechungsraum;1. Obergeschoss;Verwaltungsgebäude Nord
VGN-202;Büro;1. Obergeschoss;Verwaltungsgebäude Nord
VGN-203;Büro;1. Obergeschoss;Verwaltungsgebäude Nord
VGN-204;Poststelle;1. Obergeschoss;Verwaltungsgebäude Nord
VGN-205;Poststelle;1. Obergeschoss;Verwaltungsgebäude Nord
VGN-206;Archiv;1. Obergeschoss;Verwaltungsgebäude Nord
VGN-207;Empfang;1. Obergeschoss;Verwaltungsgebäude Nord
VGN-208;Sanitär;1. Obergeschoss;Verwaltungsgebäude Nord
VGN-301;Bibliothek;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-302;Sanitär;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-303;Lager;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-304;Lager;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-305;Serverraum;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-306;Druckerraum;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-307;Poststelle;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-308;Archiv;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-309;Archiv;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-310;Serverraum;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-311;Serverraum;2. Obergeschoss;Verwaltungsgebäude Nord
VGN-401;Besprechungsraum;3. Obergeschoss;Verwaltungsgebäude Nord
VGN-402;Teeküche;3. Obergeschoss;Verwaltungsgebäude Nord
VGN-403;Büro;3. Obergeschoss;Verwaltungsgebäude Nord
VGN-404;Empfang;3. Obergeschoss;Verwaltungsgebäude Nord
VGN-405;Lager;3. Obergeschoss;Verwaltungsgebäude Nord
VGN-406;Archiv;3. Obergeschoss;Verwaltungsgebäude Nord
VGN-407;Bibliothek;3. Obergeschoss;Verwaltungsgebäude Nord
VGS-001;Empfang;Untergeschoss;Verwaltungsgebäude Süd
VGS-002;Teeküche;Untergeschoss;Verwaltungsgebäude Süd
VGS-003;Poststelle;Untergeschoss;Verwaltungsgebäude Süd
VGS-004;Bibliothek;Untergeschoss;Verwaltungsgebäude Süd
VGS-005;Druckerraum;Untergeschoss;Verwaltungsgebäude Süd
VGS-006;Besprechungsraum;Untergeschoss;Verwaltungsgebäude Süd
VGS-007;Büro;Untergeschoss;Verwaltungsgebäude Süd
